Designator,Mid X,Mid Y,Rotation,Layer
R69,127.25,-112.5,0.0,bottom
R7,97.0875,-41.0,180.0,top
R70,127.25,-118.0,0.0,bottom
R71,154.5,-109.75,0.0,top
R72,139.3,-116.2,0.0,top
R73,146.1,-112.6,180.0,top
R8,113.3375,-30.5,0.0,bottom
R82,94.2875,-147.17,0.0,top
R83,112.0,-130.175,270.0,top
R84,111.3,-136.025,270.0,top
R85,147.0,-116.2,0.0,top
R86,134.975,-154.5,180.0,top
R87,131.975,-154.5,180.0,top
R88,128.775,-134.9,180.0,top
R89,152.675,-152.3,180.0,top
R9,114.25,-32.5,0.0,bottom
R90,131.525,-137.3,0.0,top
R91,134.975,-157.1,180.0,top
RFM95W1,115.025,-171.5,0.0,top
U1,144.45,-49.5,90.0,top
U4,157.5,-43.5,180.0,top
W25Flash1,133.495,-72.095,0.0,top
